doi,author1,author2
http://dx.doi.org/10.1007/978-3-030-54173-6_3,https://dblp.org/pid/c/ABCremers,https://dblp.org/pid/35/1335-1
https://doi.org/10.1007/978-3-030-54173-6_3,https://dblp.org/pid/c/ABCremers,https://dblp.org/pid/35/1335-1
http://dx.doi.org/10.1007/978-3-030-47411-9_9,https://dblp.org/pid/37/10536,https://dblp.org/pid/204/0243
https://doi.org/10.1007/978-3-030-47411-9_9,https://dblp.org/pid/37/10536,https://dblp.org/pid/204/0243
http://dx.doi.org/10.1007/978-3-030-47411-9_9,https://dblp.org/pid/53/2530,https://dblp.org/pid/204/0243
https://doi.org/10.1007/978-3-030-47411-9_9,https://dblp.org/pid/53/2530,https://dblp.org/pid/204/0243
http://dx.doi.org/10.1007/978-3-030-47411-9_9,https://dblp.org/pid/53/2530,https://dblp.org/pid/37/10536
https://doi.org/10.1007/978-3-030-47411-9_9,https://dblp.org/pid/53/2530,https://dblp.org/pid/37/10536
http://dx.doi.org/10.1007/978-3-030-84655-8_2,https://dblp.org/pid/172/6953,https://dblp.org/pid/05/4977
https://doi.org/10.1007/978-3-030-84655-8_2,https://dblp.org/pid/172/6953,https://dblp.org/pid/05/4977
http://dx.doi.org/10.1007/978-3-030-84655-8_2,https://dblp.org/pid/j/JanaKoehler,https://dblp.org/pid/05/4977
https://doi.org/10.1007/978-3-030-84655-8_2,https://dblp.org/pid/j/JanaKoehler,https://dblp.org/pid/05/4977
http://dx.doi.org/10.1007/978-3-030-84655-8_2,https://dblp.org/pid/j/JanaKoehler,https://dblp.org/pid/172/6953
https://doi.org/10.1007/978-3-030-84655-8_2,https://dblp.org/pid/j/JanaKoehler,https://dblp.org/pid/172/6953
http://dx.doi.org/10.1007/978-3-030-63307-3_10,https://dblp.org/pid/42/8982,https://dblp.org/pid/119/6934
https://doi.org/10.1007/978-3-030-63307-3_10,https://dblp.org/pid/42/8982,https://dblp.org/pid/119/6934
http://dx.doi.org/10.1007/978-3-030-63307-3_10,https://dblp.org/pid/h/AboulEllaHassanien,https://dblp.org/pid/119/6934
https://doi.org/10.1007/978-3-030-63307-3_10,https://dblp.org/pid/h/AboulEllaHassanien,https://dblp.org/pid/119/6934
http://dx.doi.org/10.1007/978-3-030-63307-3_10,https://dblp.org/pid/h/AboulEllaHassanien,https://dblp.org/pid/42/8982
https://doi.org/10.1007/978-3-030-63307-3_10,https://dblp.org/pid/h/AboulEllaHassanien,https://dblp.org/pid/42/8982
http://dx.doi.org/10.1007/978-3-030-63307-3_5,https://dblp.org/pid/42/8982,https://dblp.org/pid/122/9778
https://doi.org/10.1007/978-3-030-63307-3_5,https://dblp.org/pid/42/8982,https://dblp.org/pid/122/9778
http://dx.doi.org/10.1007/978-3-030-63307-3_5,https://dblp.org/pid/h/AboulEllaHassanien,https://dblp.org/pid/122/9778
https://doi.org/10.1007/978-3-030-63307-3_5,https://dblp.org/pid/h/AboulEllaHassanien,https://dblp.org/pid/122/9778
http://dx.doi.org/10.1007/978-3-030-63307-3_5,https://dblp.org/pid/h/AboulEllaHassanien,https://dblp.org/pid/42/8982
https://doi.org/10.1007/978-3-030-63307-3_5,https://dblp.org/pid/h/AboulEllaHassanien,https://dblp.org/pid/42/8982
http://dx.doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/214/4089,https://dblp.org/pid/154/2103
https://doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/214/4089,https://dblp.org/pid/154/2103
http://dx.doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/288/4592,https://dblp.org/pid/154/2103
https://doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/288/4592,https://dblp.org/pid/154/2103
http://dx.doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/288/4726,https://dblp.org/pid/154/2103
https://doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/288/4726,https://dblp.org/pid/154/2103
http://dx.doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/42/8982,https://dblp.org/pid/154/2103
https://doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/42/8982,https://dblp.org/pid/154/2103
http://dx.doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/78/11265,https://dblp.org/pid/154/2103
https://doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/78/11265,https://dblp.org/pid/154/2103
http://dx.doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/h/AboulEllaHassanien,https://dblp.org/pid/154/2103
https://doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/h/AboulEllaHassanien,https://dblp.org/pid/154/2103
http://dx.doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/288/4592,https://dblp.org/pid/214/4089
https://doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/288/4592,https://dblp.org/pid/214/4089
http://dx.doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/288/4726,https://dblp.org/pid/214/4089
https://doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/288/4726,https://dblp.org/pid/214/4089
http://dx.doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/42/8982,https://dblp.org/pid/214/4089
https://doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/42/8982,https://dblp.org/pid/214/4089
http://dx.doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/78/11265,https://dblp.org/pid/214/4089
https://doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/78/11265,https://dblp.org/pid/214/4089
http://dx.doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/h/AboulEllaHassanien,https://dblp.org/pid/214/4089
https://doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/h/AboulEllaHassanien,https://dblp.org/pid/214/4089
http://dx.doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/288/4726,https://dblp.org/pid/288/4592
https://doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/288/4726,https://dblp.org/pid/288/4592
http://dx.doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/42/8982,https://dblp.org/pid/288/4592
https://doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/42/8982,https://dblp.org/pid/288/4592
http://dx.doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/78/11265,https://dblp.org/pid/288/4592
https://doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/78/11265,https://dblp.org/pid/288/4592
http://dx.doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/h/AboulEllaHassanien,https://dblp.org/pid/288/4592
https://doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/h/AboulEllaHassanien,https://dblp.org/pid/288/4592
http://dx.doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/42/8982,https://dblp.org/pid/288/4726
https://doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/42/8982,https://dblp.org/pid/288/4726
http://dx.doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/78/11265,https://dblp.org/pid/288/4726
https://doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/78/11265,https://dblp.org/pid/288/4726
http://dx.doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/h/AboulEllaHassanien,https://dblp.org/pid/288/4726
https://doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/h/AboulEllaHassanien,https://dblp.org/pid/288/4726
http://dx.doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/78/11265,https://dblp.org/pid/42/8982
https://doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/78/11265,https://dblp.org/pid/42/8982
http://dx.doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/h/AboulEllaHassanien,https://dblp.org/pid/42/8982
https://doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/h/AboulEllaHassanien,https://dblp.org/pid/42/8982
http://dx.doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/h/AboulEllaHassanien,https://dblp.org/pid/78/11265
https://doi.org/10.1007/978-3-030-63307-3_6,https://dblp.org/pid/h/AboulEllaHassanien,https://dblp.org/pid/78/11265
http://dx.doi.org/10.1007/978-3-030-63307-3_8,https://dblp.org/pid/42/8982,https://dblp.org/pid/222/2088
https://doi.org/10.1007/978-3-030-63307-3_8,https://dblp.org/pid/42/8982,https://dblp.org/pid/222/2088
http://dx.doi.org/10.1007/978-3-030-63307-3_8,https://dblp.org/pid/h/AboulEllaHassanien,https://dblp.org/pid/222/2088
https://doi.org/10.1007/978-3-030-63307-3_8,https://dblp.org/pid/h/AboulEllaHassanien,https://dblp.org/pid/222/2088
http://dx.doi.org/10.1007/978-3-030-63307-3_8,https://dblp.org/pid/h/AboulEllaHassanien,https://dblp.org/pid/42/8982
https://doi.org/10.1007/978-3-030-63307-3_8,https://dblp.org/pid/h/AboulEllaHassanien,https://dblp.org/pid/42/8982
http://dx.doi.org/10.1007/978-3-030-83356-5,https://dblp.org/pid/78/3473,https://dblp.org/pid/42/1988
https://doi.org/10.1007/978-3-030-83356-5,https://dblp.org/pid/78/3473,https://dblp.org/pid/42/1988
http://dx.doi.org/10.1007/978-3-030-82318-4,https://dblp.org/pid/l/SengWaiLoke,https://dblp.org/pid/60/382
https://doi.org/10.1007/978-3-030-82318-4,https://dblp.org/pid/l/SengWaiLoke,https://dblp.org/pid/60/382
